marka,model,year,price,currency,ad_link
Opel,Astra IV,2010 ,27800,PLN,https://www.otomoto.pl/oferta/opel-astra-1-4t-140km-klimatronik-serwisowany-ksenon-led-ID6DTEUx.html#684eff33c1
Peugeot,208 E-HDi,2013 ,23700,PLN,https://www.otomoto.pl/oferta/peugeot-208-panorama-skorzana-tapicerka-1-6-hdi-allure-navi-najlepszy-silnik-1-6-ID6DTEUo.html#684eff33c1
Renault,Clio,2021 ,26500,PLN,https://www.otomoto.pl/oferta/renault-clio-clio-1-0-tce-zen-lpg-ID6DTEUm.html#684eff33c1
Opel,Insignia,2009 ,3990,PLN,https://www.otomoto.pl/oferta/opel-insignia-ID6DTEUe.html#684eff33c1
Opel,Agila 1.0,2001 ,8000,PLN,https://www.otomoto.pl/oferta/opel-agila-1-0-benzyna-58km-wspomaganie-bezwypadkowy-stan-idealny-ID6DTEUb.html#684eff33c1
BMW,Seria 3 320d,2004 ,1800,PLN,https://www.otomoto.pl/oferta/bmw-seria-3-sprzedam-bmw-e46-2004-ID6DTETM.html#684eff33c1
BMW,Seria 3 316i,2000 ,119777,PLN,https://www.otomoto.pl/oferta/bmw-seria-3-316i-105ps-compact-ID6DTETF.html#684eff33c1
Toyota,Sienna,2018 ,33900,PLN,https://www.otomoto.pl/oferta/toyota-sienna-3-5-v6-296km-se-premiumgwarancjazarejestrowanajedyna-taka-na-rynku-ID6DTETy.html#684eff33c1
Audi,A4 1.8,2008 ,27900,PLN,https://www.otomoto.pl/oferta/audi-a4-s-line-1-8t-160km-19-polskora-serwis-do-konca-z-niemiec-oplacona-e4j-ID6DTETw.html#684eff33c1
Nissan,Juke,2011 ,4200,PLN,https://www.otomoto.pl/oferta/nissan-juke-ID6DTETr.html#684eff33c1
Hyundai,i20 1.2,2021 ,79500,PLN,https://www.otomoto.pl/oferta/hyundai-i20-nowy-i20-1-2-84-km-classic-plus-ID6DTETo.html#684eff33c1
Volkswagen,Passat,1997 ,46500,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-1-6-lpg-bardzo-ladny-okazja-ID6DTETk.html#684eff33c1
Audi,A6 Avant,2015 ,10800,PLN,https://www.otomoto.pl/oferta/audi-a6-2-0-tdi-190-ps-2-x-s-line-ID6DTESV.html#684eff33c1
Citroen,C5 Aircross 1.5,2021 ,49900,PLN,https://www.otomoto.pl/oferta/citroen-c5-aircross-ofe-spec-do-20-06-feel-pack-kamera-navi-martwe-pole-grip-control-ID6DTEST.html#684eff33c1
Skoda,Fabia,2019 ,159900,PLN,https://www.otomoto.pl/oferta/skoda-fabia-1-0-ambition-75km-lpg-pakiet-komfort-ID6DTESl.html#684eff33c1
Alfa-Romeo,Romeo Stelvio 2.0,2021 ,13500,PLN,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-my21-2-0-gme-turbo-benzyna-200-km-at-q4-business-ID6DTESg.html#684eff33c1
Fiat,Grande Punto 1.4,2009 ,159900,PLN,https://www.otomoto.pl/oferta/fiat-grande-punto-klima-alufelgi-6-biegow-gotowy-do-rejestracji-ID6DTES1.html#684eff33c1
Dacia,Lodgy,2017 ,32700,PLN,https://www.otomoto.pl/oferta/dacia-lodgy-1-6-sce-laureate-salon-rp-i-wl-bezwypadkowy-fv23-ID6DTERZ.html#684eff33c1
Volvo,XC 40,2020 ,6900,PLN,https://www.otomoto.pl/oferta/volvo-xc-40-163km-momentum-pro-navi-skora-keyless-kamera-aso-fv23-ID6DTERT.html#684eff33c1
Volkswagen,New Beetle 1.4,2003 ,31900,PLN,https://www.otomoto.pl/oferta/volkswagen-new-beetle-1-4-75km-kabrio-el-dach-felgi-aluminiowe-karbon-ID6DTERk.html#684eff33c1
BMW,X2,2020 ,32900,PLN,https://www.otomoto.pl/oferta/bmw-x2-18d-sdrive-automat-czujniki-navi-gwarancja-fv23-ID6DTERh.html#684eff33c1
Skoda,RAPID 1.4,2016 ,44900,PLN,https://www.otomoto.pl/oferta/skoda-rapid-1-4-tdi-90-km-dsg-klima-salon-pl-fv-23-gwarancja-ID6DTERe.html#684eff33c1
Renault,Laguna,2002 ,186000,PLN,https://www.otomoto.pl/oferta/renault-laguna-1-8-benzyna-gwarancja-oplacony-automat-ID6DTEQZ.html#684eff33c1
Opel,Insignia,2021 ,76900,PLN,https://www.otomoto.pl/oferta/opel-insignia-elegance-1-5-122-automat-0014xg5p-ID6DTEQY.html#684eff33c1
Hyundai,i20 1.2,2021 ,41900,PLN,https://www.otomoto.pl/oferta/hyundai-i20-nowy-i20-1-2-84-km-classic-plus-z-czujnikami-parkowania-ID6DTEQX.html#684eff33c1
Kia,Sportage 2.0,2005 ,12500,PLN,https://www.otomoto.pl/oferta/kia-sportage-sprzedam-kia-sportage-ID6DTEQ6.html#dd7806c495
Citroen,C5 2.0,2011 ,26900,PLN,https://www.otomoto.pl/oferta/citroen-c5-sprzedam-citroen-c5-2011-ID6DTEQ1.html#dd7806c495
Renault,Clio,2002 ,7900,PLN,https://www.otomoto.pl/oferta/renault-clio-1-4-automat-klimatyzacja-oryginal-lakier-sprowadzony-ID6DTEPM.html#dd7806c495
Suzuki,Vitara 1.6,2017 ,68500,PLN,https://www.otomoto.pl/oferta/suzuki-vitara-benz-120km-premium-salonpl-35tys-km-bezwypadkowy-navi-kamera-led-ladny-ID6DTEPL.html#dd7806c495
Mazda,3 1.6,2011 ,24900,PLN,https://www.otomoto.pl/oferta/mazda-3-mazda-3-1-6-full-opcja-100-bezwypadkowy-ID6DTEPG.html#dd7806c495
BMW,Seria 4 435d,2015 ,143900,PLN,https://www.otomoto.pl/oferta/bmw-seria-4-bmw-435d-xdrive-m-pakiet-salon-polska-nowy-silnik-z-aso-ID6DTEPE.html#dd7806c495
Opel,Insignia 2.0,2016 ,45899,PLN,https://www.otomoto.pl/oferta/opel-insignia-salon-fv23-gwarancja-serwisowa-cosmo-led-navi-ID6DTEPw.html#dd7806c495
Volvo,S40 2.4i,2005 ,18900,PLN,https://www.otomoto.pl/oferta/volvo-s40-2-4-170km-benzyna-oplacony-grzane-fotele-serwis-ID6DTEPd.html#dd7806c495
Skoda,Octavia 1.4,2010 ,18000,PLN,https://www.otomoto.pl/oferta/skoda-octavia-skoda-octavia-ii-1-4-tsi-122-km-automat-ID6DTEOQ.html#dd7806c495
Audi,Q3,2021 ,6999,PLN,https://www.otomoto.pl/oferta/audi-q3-ID6DTEOO.html#dd7806c495
Mercedes-Benz,Klasa E,2006 ,2700,PLN,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-tania-eklasa-220-cdi-ID6DTEOr.html#dd7806c495
Audi,A3,2021 ,59901,PLN,https://www.otomoto.pl/oferta/audi-a3-ID6DTEOn.html#dd7806c495
Renault,Clio,2000 ,7999,PLN,https://www.otomoto.pl/oferta/renault-clio-bialoleka-1-4-benzyna-2000-rok-produkcji-komis-tysiak-ID6DTEOj.html#dd7806c495
Peugeot,Boxer HDi,2016 ,29900,PLN,https://www.otomoto.pl/oferta/peugeot-boxer-2-0-hdi-130km-2-x-klima-9-osobowy-netto-48700-zl-ID6DTEO3.html#dd7806c495
Audi,A6 Allroad,2021 ,20000,PLN,https://www.otomoto.pl/oferta/audi-a6-allroad-ID6DTENY.html#dd7806c495
Ford,Mondeo 2.0,2004 ,79999,PLN,https://www.otomoto.pl/oferta/ford-mondeo-2-0diesel-klimatronik-skora-lublin-ID6DTENX.html#dd7806c495
Audi,A6,2021 ,24900,PLN,https://www.otomoto.pl/oferta/audi-a6-ID6DTENT.html#dd7806c495
Mercedes-Benz,GLE Coupe,2021 ,37900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-gle-dostepny-od-reki-gle-400d-4-matic-zawila-3-sobieslaw-zasada-ID6DTENM.html#dd7806c495
Volkswagen,Passat 1.6,2012 ,34900,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-bluemotion-technology-1-6tdi-105km-pelna-historia-serwisowa-ID6DTENL.html#dd7806c495
Audi,A6,2021 ,11000,PLN,https://www.otomoto.pl/oferta/audi-a6-ID6DTENG.html#dd7806c495
Skoda,Superb 1.4,2020 ,88900,PLN,https://www.otomoto.pl/oferta/skoda-superb-sport-line-iv-plug-in-hybrid-218km-cesja-leasingu-ID6DTENE.html#dd7806c495
Skoda,Octavia 1.5,2019 ,26900,PLN,https://www.otomoto.pl/oferta/skoda-octavia-fl-combi-1-5-tsi-act-150-km-style-amazing-navi-salon-polska-ID6DTENx.html#dd7806c495
Ford,Fiesta,2014 ,15900,PLN,https://www.otomoto.pl/oferta/ford-fiesta-1-0-ecoboost-65km-serwis-niski-przebieg-ID6DTENt.html#dd7806c495
Hyundai,ix35 2.0,2011 ,124900,PLN,https://www.otomoto.pl/oferta/hyundai-ix35-serwis-4x4-panorama-climatronic-keyless-zarejestrowany-rok-gwarancji-ID6DTENn.html#dd7806c495
BMW,Seria 3,2006 ,21000,PLN,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-e90-2-0d-automat-ID6DTEM9.html#f8556b6db3
Kia,Ceed 1.4,2020 ,88500,PLN,https://www.otomoto.pl/oferta/kia-ceed-kia-ceed-l-bl4-1-4t-140km-ID6DTEM6.html#f8556b6db3
Ford,Mondeo 2.0,2009 ,28700,PLN,https://www.otomoto.pl/oferta/ford-mondeo-salon-polska-benzyna-2-0-i-wlasciciel-ghia-ID6DTELX.html#f8556b6db3
BMW,Seria 4,2018 ,159900,PLN,https://www.otomoto.pl/oferta/bmw-seria-4-420d-xdrive-gran-coupe-m-sport-bawaria-motors-katowice-gwarancja-ID6DTELP.html#f8556b6db3
Toyota,C-HR 1.2,2017 ,73500,PLN,https://www.otomoto.pl/oferta/toyota-c-hr-rezerwacja-1-2-t-premium-park-salon-toyota-1-rej-2018-ID6DTELK.html#f8556b6db3
Audi,A6,2015 ,109900,PLN,https://www.otomoto.pl/oferta/audi-a6-2-0-tdiultrasalon-polskaii-wlascicielserwisowanyvat23-ID6DTELA.html#f8556b6db3
BMW,X3,2020 ,239900,PLN,https://www.otomoto.pl/oferta/bmw-x3-x3-xdrive-30i-m-sport-hak-pakiet-business-faktura-vat-23-ID6DTELx.html#f8556b6db3
Alfa-Romeo,Romeo Mito 1.4,2011 ,22800,PLN,https://www.otomoto.pl/oferta/alfa-romeo-mito-klimatronik-tempomat-aluminiowe-felgi-ID6DTELk.html#f8556b6db3
Volkswagen,Passat Alltrack,2017 ,90000,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-alltrack-2-0-tdi-190km-scr-4mot-panorama-nawigacja-salon-pl-f-vat23-ID6DTELd.html#f8556b6db3
MINI,Cooper S,2019 ,108900,PLN,https://www.otomoto.pl/oferta/mini-cooper-s-13000-km-ID6DTEKV.html#f8556b6db3
Opel,Corsa 1.2,2009 ,12900,PLN,https://www.otomoto.pl/oferta/opel-corsa-1-2-benzyna-80km-klimatyzacja-el-szyby-5-drzwi-polecam-ID6DTEKO.html#f8556b6db3
Skoda,Octavia 1.9,2007 ,15900,PLN,https://www.otomoto.pl/oferta/skoda-octavia-skoda-octavia-kombi-1-9-ID6DTEKL.html#f8556b6db3
Honda,City 1.4,2010 ,24500,PLN,https://www.otomoto.pl/oferta/honda-city-honda-city-1-4-100km-grudzien-2010-65-400-km-ID6DTEKI.html#f8556b6db3
Toyota,Corolla,2021 ,119900,PLN,https://www.otomoto.pl/oferta/toyota-corolla-toyota-corolla-2-0-hybrid-comfort-style-tech-ID6DTEKp.html#f8556b6db3
Volkswagen,up! 1.0,2021 ,6999,PLN,https://www.otomoto.pl/oferta/volkswagen-up-podgrzewane-fotele-bluetooth-klimatyzacja-odbior-czerwiec-ID6DTEKi.html#f8556b6db3
Mitsubishi,Colt 1.1,2005 ,24400,PLN,https://www.otomoto.pl/oferta/mitsubishi-colt-zadbany-benzyna-klimatyzacja-ID6DTEK2.html#f8556b6db3
Hyundai,Santa Fe,2020 ,219000,PLN,https://www.otomoto.pl/oferta/hyundai-santa-fe-platinum-1-6-t-gdi-hev-4wd-230km-at-kamera-cofania-swiatla-led-ID6DTEJU.html#f8556b6db3
Skoda,Octavia,2021 ,22900,PLN,https://www.otomoto.pl/oferta/skoda-octavia-style-1-4-tsi-iv-204-km-dsg-pakiet-selection-kessy-full-ID6DTEJL.html#f8556b6db3
Audi,A4,2009 ,7600,PLN,https://www.otomoto.pl/oferta/audi-a4-ID6DTEJE.html#f8556b6db3
Cadillac,Escalade,2016 ,26900,PLN,https://www.otomoto.pl/oferta/cadillac-escalade-6-2-v8-425-km-premium-bezwypadkowy-ID6DTEJu.html#f8556b6db3
Volkswagen,Golf 1.2,2011 ,139000,PLN,https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-vi-1-2-tsi-105km-ID6DTEJt.html#f8556b6db3
Kia,Ceed 1.6,2007 ,54900,PLN,https://www.otomoto.pl/oferta/kia-ceed-ID6DTEJ9.html#f8556b6db3
Dacia,Sandero,2021 ,142000,PLN,https://www.otomoto.pl/oferta/dacia-sandero-sandero-stepway-1-0-tce-comfort-lpg-ID6DTEIV.html#f8556b6db3
Fiat,Panda 1.2,2013 ,10500,PLN,https://www.otomoto.pl/oferta/fiat-panda-salon-pl-lpg-bezwypadkowy-ii-wlasciciel-min-przebieg-ID6DTEIU.html#f8556b6db3
BMW,Seria 5 520d,2018 ,19900,PLN,https://www.otomoto.pl/oferta/bmw-seria-5-2-0d-190km-xdrive-sport-line-hak-ID6DTEIR.html#f8556b6db3
Kia,Venga 1.4,2018 ,81900,PLN,https://www.otomoto.pl/oferta/kia-venga-1-4-90km-salon-pl-m-gwarancja-serwisowany-ID6DTEIz.html#f8556b6db3
BMW,X5,2015 ,1799,PLN,https://www.otomoto.pl/oferta/bmw-x5-polski-salon-i-reka-bezwypadek-serwisowany-ID6DTEIv.html#f8556b6db3
Chevrolet,Spark 1.0,2011 ,11900,PLN,https://www.otomoto.pl/oferta/chevrolet-spark-zadbany-bezwypadkowy-ID6DTEIt.html#f8556b6db3
Opel,Astra III,2005 ,94003,PLN,https://www.otomoto.pl/oferta/opel-astra-ID6DTEHL.html#f2e2499bed
BMW,Seria 5 530i,2003 ,24000,PLN,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-e60-ID6DTEHD.html#f2e2499bed
Hyundai,i20 1.2,2018 ,39800,PLN,https://www.otomoto.pl/oferta/hyundai-i20-1-2-84km-salon-pl-fv23-ID6DTEHB.html#f2e2499bed
Renault,Megane II,2007 ,6200,PLN,https://www.otomoto.pl/oferta/renault-megane-renault-megane-ii-1-5-dci-105km-ID6DTEHl.html#f2e2499bed
Volkswagen,Passat 1.9,2008 ,14999,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-1-9tdi-215tkm-sedan-bezwypadkowy-zarejestrowany-ID6DTEH7.html#f2e2499bed
Kia,Pro_cee'd Pro,2008 ,12000,PLN,https://www.otomoto.pl/oferta/kia-pro-ceed-kia-pro-ceed-ID6DTEH6.html#f2e2499bed
Kia,Ceed Cee'd,2012 ,14000,PLN,https://www.otomoto.pl/oferta/kia-ceed-kia-ceed-ii-1-6-crdi-2012-sprawny-silnik-zadbana-ID6DTEGY.html#f2e2499bed
Audi,A6 2.7,2007 ,17900,PLN,https://www.otomoto.pl/oferta/audi-a6-audi-a6-c6-super-stan-ID6DTEGy.html#f2e2499bed
Dacia,Dokker Express,2017 ,30000,PLN,https://www.otomoto.pl/oferta/dacia-dokker-dacia-dokker-2017r-1-5-ID6DTEGt.html#f2e2499bed
Mazda,3 1.6,2006 ,10900,PLN,https://www.otomoto.pl/oferta/mazda-3-bardzo-zadbana-ID6DTEGs.html#f2e2499bed
Opel,Astra IV,2012 ,24900,PLN,https://www.otomoto.pl/oferta/opel-astra-navi-klima-tempomat-i-wiele-wiecej-ID6DTEFR.html#f2e2499bed
Toyota,RAV4,2021 ,24000,PLN,https://www.otomoto.pl/oferta/toyota-rav4-comfort-2-5-hybrid-222km-super-cena-okazja-pakiet-style-kamera-ID6DTEFm.html#f2e2499bed
Mercedes-Benz,GLE,2021 ,29900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-gle-mercedes-benz-gle-350-e-4matic-suv-sosnowiec-ID6DTEFg.html#f2e2499bed
Mercedes-Benz,GLE Coupe,2021 ,19900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-gle-dostepny-od-reki-gle-400d-4-matic-zawila-3-sobieslaw-zasada-ID6DTEEP.html#f2e2499bed
Citroen,C1 1.0,2015 ,19400,PLN,https://www.otomoto.pl/oferta/citroen-c1-citroen-c1-otwierany-dach-klimatyzacja-kamera-ID6DTEEB.html#f2e2499bed
Kia,Ceed 1.4,2013 ,22500,PLN,https://www.otomoto.pl/oferta/kia-ceed-piekny-czarny-100-udokumentowany-przebieg-gwarancja-ID6DTEEz.html#f2e2499bed
Volvo,S60,2020 ,21500,PLN,https://www.otomoto.pl/oferta/volvo-s60-b4-b-211km-r-design-zadzwon-i-zarezerwuj-juz-dzis-ID6DTEEj.html#f2e2499bed
Peugeot,208,2020 ,27000,PLN,https://www.otomoto.pl/oferta/peugeot-208-gt-line-1-2-puretech-100km-2wd-ogrzewane-fotele-nawigacja-ID6DTEE8.html#f2e2499bed
Hyundai,Santa Fe,2006 ,28000,PLN,https://www.otomoto.pl/oferta/hyundai-santa-fe-bogate-wyposazenie-mozliwa-zamiana-ID6DTEE2.html#f2e2499bed
Kia,Sportage,2005 ,58000,PLN,https://www.otomoto.pl/oferta/kia-sportage-4x4-active-166tys-oryginalny-przebieg-100-oryginalny-lakier-niemcy-ID6DTEDY.html#f2e2499bed
Volkswagen,Passat CC 2.0,2010 ,56580,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-cc-2-0tdi-140km-6-biegow-polski-salon-serwisowany-ID6DTEDV.html#f2e2499bed
Peugeot,208,2020 ,69900,PLN,https://www.otomoto.pl/oferta/peugeot-208-gt-line-1-2-puretech-100km-eat8-ogrzewane-fotele-nawigacja-ID6DTEDS.html#f2e2499bed
Lancia,Musa,2012 ,18000,PLN,https://www.otomoto.pl/oferta/lancia-musa-ID6DTEDM.html#f2e2499bed
Audi,A3 1.6,2010 ,27000,PLN,https://www.otomoto.pl/oferta/audi-a3-audi-a3-8p-diesel-ID6DTEDK.html#f2e2499bed
Mitsubishi,Pajero Pinin 1.8,2002 ,8800,PLN,https://www.otomoto.pl/oferta/mitsubishi-pajero-pinin-4x4-krotki-z-sekwencyjnym-gazem-swiezo-po-przegladzie-ID6DTECT.html#e206119c7c
Renault,Laguna II,2005 ,14800,PLN,https://www.otomoto.pl/oferta/renault-laguna-ID6DTECS.html#e206119c7c
Seat,Ibiza SC,2012 ,19900,PLN,https://www.otomoto.pl/oferta/seat-ibiza-1-2-benzyna-bezwypadkowy-bogate-wyposazenie-idealny-stan-ID6DTECQ.html#e206119c7c
Opel,Insignia,2014 ,40900,PLN,https://www.otomoto.pl/oferta/opel-insignia-1-4turbo-benzyna140kmlakier-fabrycznyledy-liftdrugie-kolaoplacon-ID6DTECM.html#e206119c7c
Ford,Kuga 2.0,2012 ,38900,PLN,https://www.otomoto.pl/oferta/ford-kuga-2-0tdci-140km-4x4-pol-skora-klimatronik-parktronik-aso-ID6DTECC.html#e206119c7c
BMW,Seria 3 320d,2010 ,23900,PLN,https://www.otomoto.pl/oferta/bmw-seria-3-320dnavicz-parksport-fotelealubezwyp-ID6DTECu.html#e206119c7c
Peugeot,207 CC 120,2008 ,14800,PLN,https://www.otomoto.pl/oferta/peugeot-207-cc-bezwypadkowy-przebieg-udokumentowany-ID6DTECo.html#e206119c7c
Audi,A3,2000 ,6000,PLN,https://www.otomoto.pl/oferta/audi-a3-lift-1-6i-benzynka-climatronic-wspomaganie-5-drzwi-alu-po-oplatach-ID6DTECm.html#e206119c7c
Seat,Altea XL 1.4,2010 ,18900,PLN,https://www.otomoto.pl/oferta/seat-altea-xl-1-4-tsi-125km-style-lift-gwarancja-okazja-ID6DTECg.html#e206119c7c
Kia,Optima 1.7,2011 ,36900,PLN,https://www.otomoto.pl/oferta/kia-optima-kia-optima-1-7-crdi-automat-salon-polska-serwisowana-w-aso-ID6DTECf.html#e206119c7c
Volkswagen,Golf IV,2003 ,7500,PLN,https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-1-4-b-g-ID6DTECc.html#e206119c7c
Skoda,Octavia 1.9,2007 ,14900,PLN,https://www.otomoto.pl/oferta/skoda-octavia-1-9-tdi-105km-2007r-elegance-dsg-klimax2-bez-rdzy-tempomat-mp3-ID6DTEC9.html#e206119c7c
Toyota,Corolla,2021 ,71900,PLN,https://www.otomoto.pl/oferta/toyota-corolla-comfort-1-8-hybrid-122km-super-cena-okazja-ID6DTEBZ.html#e206119c7c
Ford,Kuga 1.5,2019 ,5500,PLN,https://www.otomoto.pl/oferta/ford-kuga-kamera-cofania-led-alu-automat-ID6DTEBY.html#e206119c7c
Mercedes-Benz,Klasa S,1982 ,11800,PLN,https://www.otomoto.pl/oferta/mercedes-benz-klasa-s-mercedes-w126-280se-ID6DTEBW.html#e206119c7c
Chevrolet,Aveo 1.2,2010 ,42899,PLN,https://www.otomoto.pl/oferta/chevrolet-aveo-1-2-benzyna-i-rejestracja-2011-klima-bezwypadkowy-ID6DTEBR.html#e206119c7c
Opel,Astra 1.6,2018 ,25900,PLN,https://www.otomoto.pl/oferta/opel-astra-salon-fv23-gwarancja-serwisowa-premium-navi-ID6DTEBE.html#e206119c7c
Ford,S-Max 2.0,2009 ,3500,PLN,https://www.otomoto.pl/oferta/ford-s-max-2-0tdci-titanium-converse-skory-navi-100-bezwypadkowy-bardzo-zadbany-ID6DTEBA.html#e206119c7c
Ford,Focus 1.6,2007 ,62000,PLN,https://www.otomoto.pl/oferta/ford-focus-sprzedam-ford-focus-1-6i-amber-x-ID6DTEBs.html#e206119c7c
Saab,9-5 2.8,2010 ,46500,PLN,https://www.otomoto.pl/oferta/saab-9-5-saab-9-5-aero-t6-2-8t-wlasciciel-ID6DTEBp.html#e206119c7c
Peugeot,208,2021 ,12500,PLN,https://www.otomoto.pl/oferta/peugeot-208-allure-1-2-puretech-100km-2wd-mt-visiopack-nawigacja-ID6DTEBf.html#e206119c7c
Audi,A6 40,2021 ,46900,PLN,https://www.otomoto.pl/oferta/audi-a6-od-reki-s-line-matrix-led-nawigacja-alcantara-czern-ID6DTEAR.html#e206119c7c
Lexus,ES 300h,2021 ,259000,PLN,https://www.otomoto.pl/oferta/lexus-es-od-reki-lexus-es-300h-business-edition-panorama-ID6DTEAQ.html#e206119c7c
Toyota,Yaris,2018 ,36500,PLN,https://www.otomoto.pl/oferta/toyota-yaris-1-5-active-ID6DTEAO.html#e206119c7c
Honda,Civic,2006 ,89900,PLN,https://www.otomoto.pl/oferta/honda-civic-ufo2-2dieselzarejestrowana-ID6DTEAF.html#e206119c7c
Toyota,Yaris,2018 ,29900,PLN,https://www.otomoto.pl/oferta/toyota-yaris-1-5-active-ID6DTEAG.html#e206119c7c
Land-Rover,Rover Range Rover 4.4SD,2015 ,71900,PLN,https://www.otomoto.pl/oferta/land-rover-range-rover-range-rover-autobiography-salon-polska-4-4-v8-bezwypadkowy-fv23-ID6DTEAB.html#e206119c7c
Toyota,RAV4,2017 ,110900,PLN,https://www.otomoto.pl/oferta/toyota-rav4-hybrid-premium-4x4-navi-style-ID6DTEAm.html#2ac65adb54
Suzuki,Swift,2021 ,8500,PLN,https://www.otomoto.pl/oferta/suzuki-swift-1-2-dualjet-premium-plus-83km-pakiet-zimowy-swiatla-led-ID6DTEAl.html#2ac65adb54
Fiat,Punto 1.3,2008 ,16800,PLN,https://www.otomoto.pl/oferta/fiat-punto-fiat-punto-grande-multijet-1-3-disel-ID6DTEAi.html#2ac65adb54
Fiat,Punto 1.2,2011 ,24900,PLN,https://www.otomoto.pl/oferta/fiat-punto-krajowy-pierwszy-wlasciciel-ID6DTEAb.html#2ac65adb54
Ford,Mondeo 2.0,2008 ,5500,PLN,https://www.otomoto.pl/oferta/ford-mondeo-nawigacja-xenon-skora-full-elektryka-niski-przebieg-ID6DTEA7.html#2ac65adb54
Ford,Focus 1.6,2007 ,74900,PLN,https://www.otomoto.pl/oferta/ford-focus-ford-focus-mk2-ID6DTEzY.html#2ac65adb54
Toyota,C-HR,2017 ,163900,PLN,https://www.otomoto.pl/oferta/toyota-c-hr-1-2-t-premium-ID6DTEzZ.html#2ac65adb54
Mercedes-Benz,GLE 250,2018 ,121900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-gle-pakiet-amg-2-2-cdi-204km-zamiana-gwarancja-zarejestrowany-ID6DTEzW.html#2ac65adb54
Toyota,C-HR,2020 ,83900,PLN,https://www.otomoto.pl/oferta/toyota-c-hr-164-toyota-c-hr-2-0-hybrid-selection-salon-pl-ID6DTEzK.html#2ac65adb54
Ford,F150,2013 ,140000,PLN,https://www.otomoto.pl/oferta/ford-f150-5-5-385km-lpg-zamiana-ID6DTEzH.html#2ac65adb54
BMW,Seria 4 420i,2020 ,250000,PLN,https://www.otomoto.pl/oferta/bmw-seria-4-advantage-xdrive-fv23-cena-netto-113-821-14-pln-ID6DTEzF.html#2ac65adb54
BMW,X4 xDrive20d,2020 ,79900,PLN,https://www.otomoto.pl/oferta/bmw-x4-x4-xdrive20d-ID6DTEzz.html#2ac65adb54
Skoda,Kamiq 1.0,2019 ,110900,PLN,https://www.otomoto.pl/oferta/skoda-kamiq-1-0-tsi-115km-style-salon-polska-serwis-aso-pierwszy-wlasciciel-ID6DTEzq.html#2ac65adb54
Toyota,C-HR,2020 ,31500,PLN,https://www.otomoto.pl/oferta/toyota-c-hr-163-toyota-c-hr-2-0-hybrid-style-aso-salon-pl-ID6DTEzn.html#2ac65adb54
Ford,Fiesta,2017 ,194700,PLN,https://www.otomoto.pl/oferta/ford-fiesta-sprzedam-forda-fieste-z-2017r-ID6DTEzj.html#2ac65adb54
Audi,A4,2020 ,86800,PLN,https://www.otomoto.pl/oferta/audi-a4-s-line-40-tfsi-140-kw-190-km-s-tronic-ID6DTEzg.html#2ac65adb54
Kia,Sorento 2.0,2016 ,16500,PLN,https://www.otomoto.pl/oferta/kia-sorento-2-0-184km-xl-4x4-salon-polska-i-wlasciciel-vat-23-ID6DTEz9.html#2ac65adb54
Toyota,Corolla,2021 ,44900,PLN,https://www.otomoto.pl/oferta/toyota-corolla-comfort-1-5-vvt-i-125-km-6-m-t-super-cena-okazja-ID6DTEz8.html#2ac65adb54
Dacia,Logan 1.2,2014 ,19500,PLN,https://www.otomoto.pl/oferta/dacia-logan-dacia-logan-ii-1-2-benzyna-gaz-ID6DTEz2.html#2ac65adb54
Audi,A4 Avant,2012 ,45900,PLN,https://www.otomoto.pl/oferta/audi-a4-1-8t-170ps-klimatro-gwarancja-ID6DTEyX.html#2ac65adb54
Mercedes-Benz,Klasa E 220,2009 ,39900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-bez-wkladu-ID6DTEyN.html#2ac65adb54
Ford,Galaxy 2.0,2014 ,5300,PLN,https://www.otomoto.pl/oferta/ford-galaxy-convers-ksiazka-serwisowa-kolorowa-nawigacja-7-osob-ID6DTEyI.html#2ac65adb54
Nissan,Navara 2.5,2008 ,25000,PLN,https://www.otomoto.pl/oferta/nissan-navara-nissan-navara-d40-2008-rok-ID6DTEyC.html#2ac65adb54
Nissan,Primera 1.9,2005 ,36900,PLN,https://www.otomoto.pl/oferta/nissan-primera-nissan-primera-p12-ID6DTEyy.html#2ac65adb54
Opel,Grandland X,2021 ,20700,PLN,https://www.otomoto.pl/oferta/opel-grandland-x-edition-1-2-130-km-automat-0091xgfl-ID6DTEyr.html#2ac65adb54
Toyota,Corolla,2021 ,4900,PLN,https://www.otomoto.pl/oferta/toyota-corolla-comfort-1-8-hybrid-122km-e-cvt-super-cena-okazja-ID6DTEyq.html#2ac65adb54
